variant,method,mode,family,severity,runs,oa,oa_std,q_aux,q_aux_std,fusion_aux,fusion_aux_std,macs,full_drop
quality_degradation_supervised,Noise quality,aux_noise_high,noise,0.5,3,0.8514935366620207,0.014485879794372804,0.5788770259275345,0.017872889268349273,0.39663128869573483,0.004320176120797516,0.7999292881891552,0.023038452078379956
quality_degradation_supervised,Noise quality,aux_noise_low,noise,0.1,3,0.8718810636495313,0.008821678882506928,0.8263521461734937,0.030145464582090952,0.4571937173763787,0.0075337686075679245,0.7999292881891552,0.0026509250908692827
quality_degradation_supervised,Noise quality,aux_noise_mid,noise,0.25,3,0.8652947446093302,0.011424522083461773,0.6201004873083515,0.012827815070995612,0.40659465910027187,0.0031120605794520487,0.7999292881891552,0.00923724413107041
quality_degradation_supervised,Noise quality,aux_occlusion_25,occlusion,0.25,3,0.8458910661091525,0.0009323998857222604,0.8906166579641847,0.036731171644641125,0.4731540061438362,0.009074380133814744,0.7999292881891552,0.028640922631248067
quality_degradation_supervised,Noise quality,aux_occlusion_50,occlusion,0.5,3,0.7332404143095297,0.02395663958453974,0.796707009603579,0.0660193725352859,0.44991334929977994,0.01628217556433984,0.7999292881891552,0.14129157443087093
quality_degradation_supervised,Noise quality,full,complete,0.0,3,0.8745319887404006,0.009458206925567602,0.895218175751126,0.020532529646726878,0.47429724656360434,0.005078146370548576,0.7999292881891552,0.0
quality_multi_degradation_p025,Multi-deg. p=0.25,aux_downsample_2,resolution,0.5,3,0.8604028312973135,0.013881150866119792,0.8722319528100099,0.0031816829497620124,0.4684032352061372,0.0008491726148885034,0.8000982021278106,0.00858134513951514
quality_multi_degradation_p025,Multi-deg. p=0.25,aux_downsample_4,resolution,0.75,3,0.8414910770408024,0.014593829329107562,0.8255326690164555,0.007102430395269836,0.4571828616236869,0.0017047552567150375,0.8000982021278106,0.027493099396026288
quality_multi_degradation_p025,Multi-deg. p=0.25,aux_noise_high,noise,0.5,3,0.8455357874887267,0.02819185656660031,0.9085535711743801,0.008873206135856342,0.4772262667199606,0.0022492554795008886,0.8000982021278106,0.023448388948101972
quality_multi_degradation_p025,Multi-deg. p=0.25,aux_noise_low,noise,0.1,3,0.8682189609466808,0.01706447262559607,0.8853078589911525,0.002895806018119807,0.4715727911925349,0.0007999855042396433,0.8000982021278106,0.0007652154901478525
quality_multi_degradation_p025,Multi-deg. p=0.25,aux_noise_mid,noise,0.25,3,0.867453745456533,0.01942431833319339,0.8930673248124551,0.00942075513404614,0.4733939601163358,0.002410535797964045,0.8000982021278106,0.001530430980295705
quality_multi_degradation_p025,Multi-deg. p=0.25,aux_occlusion_25,occlusion,0.25,3,0.8672351124593479,0.018271660858000447,0.8235151629547498,0.026918582802018406,0.456291923706922,0.006736575084334966,0.8000982021278106,0.0017490639774807581
quality_multi_degradation_p025,Multi-deg. p=0.25,aux_occlusion_50,occlusion,0.5,3,0.8557022218578338,0.016408334519835067,0.5280066046651319,0.030497888663127564,0.38445265771672144,0.007328029018088906,0.8000982021278106,0.013281954578994837
quality_multi_degradation_p025,Multi-deg. p=0.25,full,complete,0.0,3,0.8689841764368287,0.016549877968683183,0.8819585495711721,0.003346952177039945,0.4708120284964435,0.0008326401543121506,0.8000982021278106,0.0
quality_multi_degradation_supervised,Multi-deg. p=0.50,aux_downsample_2,resolution,0.5,3,0.8512475745401875,0.001844867735971936,0.7334947663629825,0.012674710496894935,0.43408131665072663,0.0031365244834792414,0.800312876388029,0.00863600338881143
quality_multi_degradation_supervised,Multi-deg. p=0.50,aux_downsample_4,resolution,0.75,3,0.8438413817605422,0.0020908119975879785,0.6617457389209287,0.003069496217051645,0.41688950511516615,0.0008209054691648078,0.800312876388029,0.0160421961684567
quality_multi_degradation_supervised,Multi-deg. p=0.50,aux_noise_high,noise,0.5,3,0.8510835997922986,0.007349807208020899,0.8222981945442966,0.00875949722528609,0.45574389871509485,0.002163596477959947,0.800312876388029,0.008799978136700304
quality_multi_degradation_supervised,Multi-deg. p=0.50,aux_noise_low,noise,0.1,3,0.8593916536853324,0.007542392806169997,0.7667315906214404,0.0102669356993164,0.4422008076272448,0.0025388792268346517,0.800312876388029,0.0004919242436665083
quality_multi_degradation_supervised,Multi-deg. p=0.50,aux_noise_mid,noise,0.25,3,0.8586537673198328,0.007787074283446962,0.7826162490732395,0.01259543385558595,0.44599314505279003,0.003099000185501351,0.800312876388029,0.0012298106091661598
quality_multi_degradation_supervised,Multi-deg. p=0.50,aux_occlusion_25,occlusion,0.25,3,0.859692274056462,0.0084460260686188,0.7288856968201799,0.008761115286243201,0.43292975666803746,0.0021649811182634002,0.800312876388029,0.00019130387253696313
quality_multi_degradation_supervised,Multi-deg. p=0.50,aux_occlusion_50,occlusion,0.5,3,0.846574294225356,0.004330092606452565,0.5479927066832586,0.00902969484718933,0.3891325684215485,0.002099592080510155,0.800312876388029,0.013309283703642927
quality_multi_degradation_supervised,Multi-deg. p=0.50,full,complete,0.0,3,0.8598835779289989,0.006439532824746747,0.7588452130938094,0.009101080727928108,0.44033289688224037,0.0022634269573311655,0.800312876388029,0.0
without_reliability_uniform_fusion,Uniform fusion,aux_downsample_2,resolution,0.5,3,0.8574239567106666,0.005815326925081687,0.5146754325455907,0.04455726110007933,0.5,0.0,0.8005507891113229,0.009756497499385008
without_reliability_uniform_fusion,Uniform fusion,aux_downsample_4,resolution,0.75,3,0.7834713454128064,0.02050651571412123,0.5127517083026364,0.04361833450585799,0.5,0.0,0.8005507891113229,0.08370910879724525
without_reliability_uniform_fusion,Uniform fusion,aux_noise_high,noise,0.5,3,0.7700800743352191,0.034972428490663766,0.5130887371417795,0.03963209914191393,0.5,0.0,0.8005507891113229,0.09710037987483255
without_reliability_uniform_fusion,Uniform fusion,aux_noise_low,noise,0.1,3,0.8694761006804952,0.00886525800830586,0.5156144824247857,0.04159847379072825,0.5,0.0,0.8005507891113229,-0.0022956464704435575
without_reliability_uniform_fusion,Uniform fusion,aux_noise_mid,noise,0.25,3,0.8425569129020798,0.03306280843218503,0.5152582411089585,0.04193294191643448,0.5,0.0,0.8005507891113229,0.02462354130797184
without_reliability_uniform_fusion,Uniform fusion,aux_occlusion_25,occlusion,0.25,3,0.8551009811155749,0.0026355253371028215,0.518595865810531,0.04105422489991191,0.5,0.0,0.8005507891113229,0.012079473094476767
without_reliability_uniform_fusion,Uniform fusion,aux_occlusion_50,occlusion,0.5,3,0.7387335683638053,0.02547451191111671,0.5195734346225038,0.039677204495789695,0.5,0.0,0.8005507891113229,0.1284468858462463
without_reliability_uniform_fusion,Uniform fusion,full,complete,0.0,3,0.8671804542100516,0.006020352463945519,0.5149163503431635,0.04178390404902558,0.5,0.0,0.8005507891113229,0.0
