path,kind,rows,best_accuracy,final_accuracy,final_best,final_epoch
output\logs\prune_berlin_succ\hsi1_sar_osc_0.7_l1_0.001_gama_1.01.csv,csv,300,0.764925,0.5134730265796983,0.764925,
output\logs\prune_berlin_succ\hsi1_sar_osc_0.9_l1_0.001_gama_1.01.csv,csv,300,0.7628,0.4658220464361761,0.7628,
output\logs\prune_huston\hsi_lidar_osc_0.3_l1_0.0001_gama_1.003.csv,csv,200,0.799541,0.7720994606169642,0.799541,
output\logs\prune_huston\hsi_lidar_osc_0.4_l1_0.0001_gama_1.003.csv,csv,200,0.812495,0.7839042792168787,0.812495,
output\logs\prune_huston\hsi_lidar_osc_0.5_l1_0.0001_gama_1.003.csv,csv,200,0.802738,0.782164415153849,0.802738,
output\logs\prune_huston\hsi_lidar_osc_0.6_l1_0.0001_gama_1.003.csv,csv,200,0.810691,0.7917283330821782,0.810691,
output\logs\prune_huston\hsi_lidar_osc_0.8_l1_0.0001_gama_1.003.csv,csv,200,0.843978,0.8100547541960627,0.843978,
output\logs\prune_huston\hsi_lidar_osc_0.8_l1_0.001_gama_1.003.csv,csv,200,0.839387,0.8110380603368731,0.839387,
output\logs\prune_huston\hsi_lidar_osc_0.8_l1_0.01_gama_1.003.csv,csv,200,0.838075,0.8049742099021359,0.838075,
output\logs\prune_huston\hsi_lidar_osc_0.8_l1_1e-06_gama_1.003.csv,csv,200,0.843896,0.8086369831374796,0.843896,
output\logs\prune_huston\hsi_lidar_osc_0.9_l1_0.0001_gama_1.003.csv,csv,206,0.850291,0.8150343776068631,0.850291,
output\logs\prune_huston\hsi_lidar_osc_0.9_l1_0.001_gama_1.003.csv,csv,200,0.852095,0.8133651077793058,0.852095,
output\logs\prune_huston\hsi_lidar_osc_0.9_l1_0.01_gama_1.003.csv,csv,200,0.849881,0.8113344758334448,0.849881,
output\logs\prune_huston\hsi_lidar_osc_1.0_l1_0.0001_gama_1.003.csv,csv,205,0.859638,0.8392055232221602,0.859638,
output\logs\prune_huston\hsi_lidar_osc_1.0_l1_0.001_gama_1.003.csv,csv,200,0.859392,0.8361181587855859,0.859392,
output\logs\prune_huston\hsi_lidar_osc_1.0_l1_0.01_gama_1.003.csv,csv,200,0.858408,0.8285393138167221,0.858408,
output\logs\prune_huston_repair\hsi_lidar_osc_0.1_l1_0.0001_gama_1.003.csv,csv,300,0.866361,3.231335247601882e-07,0.866361,
output\logs\prune_huston_repair\hsi_lidar_osc_0.2_l1_0.0001_gama_1.003.csv,csv,300,0.88284,3.231335247601882e-07,0.88284,
output\logs\prune_huston_repair\hsi_lidar_osc_0.3_l1_0.0001_gama_1.003.csv,csv,600,0.889645,3.231335247601882e-07,0.889645,
output\logs\prune_huston_repair\hsi_lidar_osc_0.4_l1_0.0001_gama_1.003.csv,csv,300,0.893744,3.231335247601882e-07,0.893744,
output\logs\prune_huston_repair\hsi_lidar_osc_0.5_l1_0.0001_gama_1.003.csv,csv,238,0.887923,0.8717045115226987,0.887923,
output\logs\prune_huston_repair\hsi_lidar_osc_0.6_l1_0.0001_gama_1.00003.csv,csv,600,0.209396,0.1252809507416759,0.209396,
output\logs\prune_huston_repair\hsi_lidar_osc_0.6_l1_0.0001_gama_1.003.csv,csv,238,0.885382,0.8667974074465937,0.885382,
output\logs\prune_huston_repair\hsi_lidar_osc_0.7_l1_0.0001_gama_1.00003.csv,csv,300,0.234566,0.15796869486835902,0.234566,
output\logs\prune_huston_repair\hsi_lidar_osc_0.7_l1_0.0001_gama_1.0003.csv,csv,300,0.871444,0.8564280285640554,0.871444,
output\logs\prune_huston_repair\hsi_lidar_osc_0.7_l1_0.0001_gama_1.003.csv,csv,600,0.885054,3.231335247601882e-07,0.885054,
output\logs\prune_huston_repair\hsi_lidar_osc_0.8_l1_0.0001_gama_1.0003.csv,csv,600,0.878167,0.8639108733485057,0.877511,
output\logs\prune_huston_repair\hsi_lidar_osc_0.8_l1_0.0001_gama_1.003.csv,csv,600,0.892105,3.231335247601882e-07,0.892105,
output\logs\prune_huston_repair\hsi_lidar_osc_0.8_l1_0.001_gama_1.003.csv,csv,100,0.216529,0.10646517540149228,0.216529,
output\logs\prune_huston_succ\hsi_lidar_osc_0.05_l1_0.001_gama_1.01.csv,csv,300,0.750594,0.6388555455054714,0.750594,
output\logs\prune_huston_succ\hsi_lidar_osc_0.1_l1_0.001_gama_1.01.csv,csv,300,0.799459,0.6625811237320545,0.799459,
output\logs\prune_huston_succ\hsi_lidar_osc_0.5_l1_0.001_gama_1.01.csv,csv,300,0.866689,0.8271997209818711,0.866689,
output\logs\prune_huston_succ\hsi_lidar_osc_0.7_l1_0.001_gama_1.01.csv,csv,300,0.888415,0.8351360050515201,0.888415,
output\logs\prune_huston_succ\hsi_lidar_osc_0.9_l1_0.001_gama_1.01.csv,csv,300,0.894564,0.8457262031373695,0.894564,
output\logs\prune_huston_temp\hsi_lidar_osc_0.4_l1_0.0001_gama_1.01.csv,csv,300,0.207756,0.10023194421197865,0.207756,
output\logs\prune_huston_temp\hsi_lidar_osc_0.4_l1_0.0001_gama_1.02.csv,csv,300,0.258342,0.1514781455620199,0.258342,
output\logs\prune_huston_temp\hsi_lidar_osc_0.4_l1_1e-05_gama_1.002.csv,csv,300,0.192834,0.10933893535609641,0.192834,
output\logs\prune_huston_temp\hsi_lidar_osc_0.4_l1_1e-05_gama_1.003.csv,csv,300,0.193244,0.12144298969352792,0.193244,
output\logs\prune_huston_temp\hsi_lidar_osc_0.5_l1_0.0001_gama_1.003.csv,csv,300,0.201115,0.09813167137715004,0.201115,
output\logs\prune_huston_temp\hsi_lidar_osc_0.5_l1_0.0001_gama_1.008.csv,csv,300,0.203575,0.12138383754296564,0.203575,
output\logs\prune_huston_temp\hsi_lidar_osc_0.6_l1_0.0001_gama_1.01.csv,csv,300,0.253997,0.16743358105562126,0.253997,
output\logs\prune_huston_temp\hsi_lidar_osc_0.6_l1_0.0001_gama_1.02.csv,csv,300,0.328933,0.21944966879163957,0.328933,
output\logs\prune_huston_temp\hsi_lidar_osc_0.6_l1_0.0001_gama_1.03.csv,csv,300,0.428794,0.2959956398694894,0.428794,
output\logs\prune_huston_temp\hsi_lidar_osc_0.6_l1_0.001_gama_1.015.csv,csv,300,0.295155,0.1986044754620626,0.295155,
output\logs\prune_huston_temp\hsi_lidar_osc_0.6_l1_1e-05_gama_1.002.csv,csv,300,0.218168,0.14061614998217528,0.218168,
output\logs\prune_huston_temp\hsi_lidar_osc_0.6_l1_1e-05_gama_1.003.csv,csv,300,0.242437,0.17137153598541613,0.242437,
output\logs\prune_huston_temp\hsi_lidar_osc_0.6_l1_1e-05_gama_1.015.csv,csv,600,0.861523,0.8348026667434919,0.861523,
output\logs\prune_huston_temp\hsi_lidar_osc_0.6_l1_1e-05_gama_1.025.csv,csv,600,0.878331,0.8608796246360904,0.878331,
output\logs\prune_huston_temp\hsi_lidar_osc_0.7_l1_0.0001_gama_1.003.csv,csv,300,0.235468,0.1545966457782625,0.235468,
output\logs\prune_huston_temp\hsi_lidar_osc_0.7_l1_0.0001_gama_1.008.csv,csv,300,0.255309,0.1498622236634548,0.255309,
output\logs\prune_huston_temp\hsi_lidar_osc_0.8_l1_0.0001_gama_1.003.csv,csv,300,0.248176,0.1607545920912946,0.248176,
output\logs\prune_huston_temp\hsi_lidar_osc_0.8_l1_0.0001_gama_1.008.csv,csv,300,0.269984,0.14910751289813795,0.269984,
output\logs\prune_huston_temp\hsi_lidar_osc_0.8_l1_0.0001_gama_1.01.csv,csv,300,0.306387,0.1831905929617043,0.306387,
output\logs\prune_huston_temp\hsi_lidar_osc_0.8_l1_0.0001_gama_1.02.csv,csv,300,0.432073,0.312763549018144,0.432073,
output\logs\prune_huston_temp\hsi_lidar_osc_0.8_l1_0.0001_gama_1.03.csv,csv,300,0.580307,0.45104288912071966,0.580307,
output\logs\prune_huston_temp\hsi_lidar_osc_0.8_l1_0.001_gama_1.005.csv,csv,400,0.384521,0.263509779683069,0.384521,
output\logs\prune_huston_temp\hsi_lidar_osc_0.8_l1_0.001_gama_1.015.csv,csv,300,0.372879,0.24640232671228993,0.372879,
output\logs\prune_huston_temp\hsi_lidar_osc_0.8_l1_1e-05_gama_1.0.csv,csv,300,0.229893,0.14623457600288978,0.229893,
output\logs\prune_huston_temp\hsi_lidar_osc_0.8_l1_1e-05_gama_1.005.csv,csv,700,0.415758,0.2807274842062617,0.392146,
output\logs\prune_huston_temp\hsi_lidar_osc_0.8_l1_1e-05_gama_1.015.csv,csv,600,0.880462,0.8545522485589724,0.880462,
output\logs\prune_huston_temp\hsi_lidar_osc_0.8_l1_1e-05_gama_1.025.csv,csv,600,0.873985,0.8577170981988468,0.873985,
output\logs\prune_huston_temp\hsi_lidar_osc_0.9_l1_0.001_gama_1.005.csv,csv,400,0.408215,0.320756390522894,0.408215,
output\logs\prune_huston_temp\hsi_lidar_osc_0.9_l1_1e-05_gama_1.0.csv,csv,300,0.267689,0.18227376347581403,0.267689,
output\logs\prune_huston_temp\hsi_lidar_osc_0.9_l1_1e-05_gama_1.005.csv,csv,700,0.449127,0.31978296898693914,0.426334,
output\logs\prune_huston_try\hsi_lidar_osc_0.05_l1_0.001_gama_1.005.csv,csv,400,0.798393,0.5548343369786155,0.798393,
output\logs\prune_huston_try\hsi_lidar_osc_0.1_l1_0.001_gama_1.005.csv,csv,400,0.807248,0.6162031451424176,0.807248,
output\logs\prune_huston_try\hsi_lidar_osc_0.2_l1_0.001_gama_1.005.csv,csv,400,0.829056,0.7216707608832642,0.829056,
output\logs\prune_huston_try\hsi_lidar_osc_0.3_l1_0.001_gama_1.005.csv,csv,150,0.751742,0.6258318543184587,0.751742,
