2.707264969857891,0.063622,0.05918453995362752,0.016213538918198198,0
2.6924938753749545,0.137985,0.1485674147436623,0.09094937446080616,0
2.6614133320497664,0.157334,0.18004067874223434,0.11340000461689867,0
2.605368381135919,0.179798,0.24660758962435902,0.1317763528483654,0
2.513167410754086,0.183816,0.2033251662572087,0.13880460543436512,0.183816
2.4423597555481984,0.225793,0.24450443326200336,0.17708021497212761,0.225793
2.354266289914592,0.231204,0.2699680909539857,0.19105044899422574,0.231204
2.2594940314132175,0.290153,0.27696666528942154,0.24300630217216473,0.290153
2.1529394843605125,0.24793,0.2669156427802018,0.20407689565005893,0.290153
2.0703537624873474,0.274084,0.26628954151583445,0.22686877210710646,0.290153
1.9539897709750058,0.341395,0.3625290439345407,0.2983923881673496,0.341395
1.832497177499064,0.415512,0.4212704377082655,0.3733665804324933,0.415512
1.7184399326195878,0.458391,0.4760614156119054,0.41777363901022946,0.458391
1.6253930624951138,0.466672,0.4963040075494454,0.42800197807531487,0.466672
1.5164724816097301,0.445683,0.44178986911924417,0.4020346747174307,0.466672
1.6438614920283972,0.338772,0.3106138959472892,0.28848881792489395,0.466672
1.484743601820442,0.501025,0.5214874828058601,0.4625745467987704,0.501025
1.3320974245500028,0.513159,0.5390719022960815,0.47557824062704973,0.513159
1.218254176418433,0.521194,0.5797115624544561,0.4862043715892843,0.521194
1.2928612325968367,0.485693,0.5249964355514106,0.4470072195949708,0.521194
1.2679808005858004,0.532836,0.5776695340251011,0.49629756530725866,0.532836
1.1821383365084617,0.527917,0.5230391172546323,0.49021304063970067,0.532836
1.1230178287859713,0.540051,0.5885498384547598,0.505447181243976,0.540051
1.0231739081693498,0.402394,0.3990602621451547,0.3581630474110238,0.540051
1.082715801308664,0.64975,0.6846370403191765,0.6218856152619114,0.64975
0.9563872271709228,0.543248,0.5631122137583356,0.506915522077966,0.64975
0.9543608761905285,0.606953,0.6185837787054598,0.5742113267733125,0.64975
0.935121909286199,0.539477,0.5639351173254626,0.5030325247022344,0.64975
0.9966212812434422,0.586866,0.6291187268481541,0.5562590729101432,0.64975
0.8693287603640825,0.609986,0.6256585185724874,0.5789909316968056,0.64975
0.838119064823965,0.639338,0.6779915903340626,0.6109776069391407,0.64975
0.7445552395970634,0.624498,0.6570556733434239,0.5952662073289605,0.64975
0.7563886300901349,0.697057,0.7084168623273942,0.6726203642730062,0.697057
0.714899693981985,0.624334,0.6477849095915641,0.5955133827146466,0.697057
0.7430669544787889,0.648438,0.6816568225999312,0.6206200857862193,0.697057
0.7141312340672097,0.656145,0.6895759504246748,0.6285745109667835,0.697057
0.7329587782366892,0.681479,0.7012865811951375,0.6556812314141984,0.697057
0.627108984114079,0.708617,0.7374899773279414,0.6854033346570892,0.708617
0.6212722789705469,0.722883,0.7475908400746095,0.7006078444526759,0.722883
0.6136335211523464,0.679593,0.714068791199306,0.6537258575010125,0.722883
0.5713576043254873,0.662704,0.7010648655842064,0.635456643322404,0.722883
0.5115029250972727,0.621218,0.6516070363350501,0.5911565474409066,0.722883
