train_epoch,500
batch_size,32
lr,0.001
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
model_name,single_fc_modal_lidar_version_0
log_name,single_fc_modal_lidar_version_0.csv
backbone,single_fc
patch_size,7
data_root,../data/Huston2013
modal,lidar
gpu,1
version,0
name,single_fc_modal_lidar_version_0
0.8607953746667069,0.371239,0.52972
0.8642917546663391,0.454784,0.52972
0.8687467354067256,0.465196,0.52972
0.8511636150017213,0.512585,0.52972
0.8478711923856413,0.30901,0.52972
0.8806086571029063,0.472001,0.52972
0.8575993515132518,0.486431,0.52972
0.8888425971015116,0.431827,0.52972
0.874217362551207,0.492744,0.52972
0.8298789805240845,0.488645,0.52972
0.8142497070719686,0.435435,0.52972
0.8738642422001014,0.406657,0.52972
0.8312463361895486,0.383127,0.52972
0.8665463884225052,0.476921,0.52972
0.8135410339644785,0.479708,0.52972
0.8335835297455948,0.417726,0.52972
0.8435627751136094,0.460523,0.52972
0.857747684703784,0.43855,0.52972
0.839973320452015,0.411331,0.52972
0.846542831217305,0.415922,0.52972
0.8465807725874226,0.465032,0.52972
0.8423038533564364,0.271788,0.52972
0.8240540047709861,0.359433,0.52972
0.8236519573779588,0.503239,0.52972
0.8303352426946833,0.520292,0.52972
0.8143842437963807,0.500615,0.52972
0.8298224311196403,0.430106,0.52972
0.8298257438654311,0.435025,0.52972
0.8213578502783615,0.383209,0.52972
0.8400691519962268,0.341149,0.52972
0.8038756335049533,0.449619,0.52972
0.8184507462415802,0.518406,0.52972
0.8188440016146457,0.439534,0.52972
0.8341799552521009,0.424695,0.52972
0.8128237978795941,0.527753,0.52972
0.8108985276704423,0.477576,0.52972
0.807595498776168,0.526605,0.52972
0.8233520281448793,0.47979,0.52972
0.8023759739452534,0.476757,0.52972
0.8346611736865526,0.486759,0.52972
0.8399284806814087,0.458719,0.52972
0.8337953261445078,0.499877,0.52972
0.7905530286638924,0.450931,0.52972
0.7772958934976814,0.430434,0.52972
0.792489901017607,0.398213,0.52972
0.8164459647757284,0.412151,0.52972
0.8087834682357445,0.459539,0.52972
0.8027442003903764,0.523817,0.52972
0.8032149217101965,0.392474,0.52972
0.8145987699540813,0.523407,0.52972
0.8296085807044854,0.459375,0.52972
0.7769378597816724,0.506518,0.52972
0.7945274590106493,0.504632,0.52972
