train_epoch,500
batch_size,32
lr,0.001
lr_warmup,True
total_epoch,5
lr_decrease,cos
mixup,False
mixup_alpha,0.2
weight_decay,0.001
momentum,0.9
class_num,15
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
model_name,single_fc_modal_hsi_version_0
log_name,single_fc_modal_hsi_version_0.csv
backbone,single_fc
patch_size,7
data_root,../data/Huston2013
modal,hsi
gpu,1
version,0
name,single_fc_modal_hsi_version_0
0.01923024040395708,0.82012,0.838239
0.013281113993941565,0.820202,0.838239
0.01717079347627384,0.820612,0.838239
0.015475232834310343,0.835533,0.838239
0.014788211278847597,0.839551,0.839551
0.017011765113330624,0.744855,0.839551
0.024078042957973615,0.787407,0.839551
0.020627468615100626,0.772567,0.839551
0.017172915397965338,0.819054,0.839551
0.016415592596939442,0.821595,0.839551
0.016668635085643677,0.81725,0.839551
0.014221265213564038,0.839715,0.839715
0.015219963341428156,0.818644,0.839715
0.015448977775725254,0.83332,0.839715
0.019331048559292817,0.829712,0.839715
0.012831443700981274,0.832254,0.839715
0.013287797878925384,0.840125,0.840125
0.0160915297011353,0.842912,0.842912
0.013921293987254247,0.844552,0.844552
0.011471393587475832,0.834304,0.844552
0.012409678699574276,0.83332,0.844552
0.013010638956964183,0.843732,0.844552
0.01406202288187538,0.827745,0.844552
0.014542454419385516,0.826433,0.844552
0.01571812084352786,0.84119,0.844552
0.01627675276458933,0.748381,0.844552
0.0171114474906471,0.827581,0.844552
0.015545987032270163,0.839387,0.844552
0.017234105962129792,0.823809,0.844552
0.014005982651887985,0.833894,0.844552
0.01249525322986955,0.83373,0.844552
0.017665873446470397,0.829876,0.844552
0.019012057365002007,0.822169,0.844552
0.018434836497802413,0.820284,0.844552
0.01382026336616261,0.835861,0.844552
0.013030121652304792,0.829876,0.844552
0.01497524956063357,0.834631,0.844552
0.015788184900066993,0.83291,0.844552
0.012837989206080523,0.828072,0.844552
0.017712214775906687,0.831352,0.844552
0.016406687593945625,0.822169,0.844552
0.01944717131502759,0.835697,0.844552
0.020683328215597888,0.798639,0.844552
0.014187850044998392,0.824629,0.844552
0.01380326890313391,0.831762,0.844552
0.014667683281004429,0.833566,0.844552
0.011847801535296139,0.839715,0.844552
0.012998950670295384,0.825941,0.844552
0.017212027571362892,0.812331,0.844552
0.017052635202561034,0.827909,0.844552
0.014278101664183012,0.830368,0.844552
0.011896694549934918,0.825449,0.844552
0.016149300571761272,0.82053,0.844552
0.013687942247691282,0.84242,0.844552
0.01233816224024788,0.825777,0.844552
0.012633734824805615,0.827007,0.844552
0.014895505546539855,0.81971,0.844552
0.012702755177435413,0.836271,0.844552
0.012884692595015918,0.834877,0.844552
0.01608387035778148,0.843158,0.844552
0.013370772869472674,0.836681,0.844552
0.021340844132466598,0.844306,0.844552
0.013194769233716338,0.833566,0.844552
0.015257128870135613,0.830778,0.844552
0.01219194106694855,0.832172,0.844552
0.010878356283509664,0.83373,0.844552
0.01752118603064773,0.834304,0.844552
0.014375326289073303,0.828892,0.844552
0.011058444866199004,0.834549,0.844552
0.015938634528998245,0.826515,0.844552
0.014666837582553036,0.829712,0.844552
0.013003718107938766,0.844224,0.844552
0.015001000585348418,0.817414,0.844552
0.023008036615557215,0.811019,0.844552
0.014142390515843636,0.837337,0.844552
0.013377541322993595,0.8416,0.844552
0.012780573232141271,0.829384,0.844552
0.012926464371927333,0.831352,0.844552
0.014302543354000939,0.840699,0.844552
0.014040783751400167,0.835041,0.844552
0.010532835613559471,0.836599,0.844552
0.01965695973014815,0.828564,0.844552
0.013013063480010193,0.835369,0.844552
0.010664301963648601,0.833402,0.844552
0.012746774070906672,0.82881,0.844552
0.013461044139302011,0.84283,0.844552
0.011747738804270545,0.840944,0.844552
0.009728306611434798,0.843732,0.844552
0.010124189610425592,0.835697,0.844552
0.010081681844077251,0.81848,0.844552
0.014180647164813421,0.825531,0.844552
0.016273018888333875,0.835451,0.844552
0.012828615195839927,0.82799,0.844552
0.01089134366837529,0.838813,0.844552
0.013722409363417478,0.839961,0.844552
0.013778725594512365,0.841928,0.844552
0.014597096483045247,0.836681,0.844552
0.012546063718658067,0.834795,0.844552
0.018318567738941548,0.834795,0.844552
0.012285955509254605,0.839141,0.844552
0.010577560800096293,0.845946,0.845946
0.011614219256770912,0.842748,0.845946
0.010370575435710757,0.843568,0.845946
0.013702355764722556,0.842256,0.845946
0.015043155826481708,0.841272,0.845946
0.011817711154312899,0.836435,0.845946
0.011856518451679038,0.835943,0.845946
0.010239642673287164,0.835205,0.845946
0.011648215473828357,0.840125,0.845946
0.011163793590568592,0.836107,0.845946
0.014657984665605459,0.84365,0.845946
0.013985065445094631,0.837091,0.845946
0.009980381173447947,0.835205,0.845946
0.009102495576861953,0.840125,0.845946
0.01230138164599625,0.845536,0.845946
0.015006753247168459,0.836189,0.845946
0.013322587156396233,0.83373,0.845946
0.013235127132155754,0.84652,0.84652
0.010492905898521959,0.836189,0.84652
0.010350542239782013,0.840453,0.84652
0.010054272968384825,0.83209,0.84652
0.01073859945944186,0.840125,0.84652
0.011485036541027635,0.84201,0.84652
0.011693020644231458,0.841682,0.84652
0.011679819860924662,0.844716,0.84652
0.01339248935116476,0.847749,0.847749
0.01059461198223943,0.843814,0.847749
0.012978253535549628,0.838567,0.847749
0.010938385569521885,0.841026,0.847749
0.01170720513308358,0.837747,0.847749
0.011262525545349449,0.834386,0.847749
0.009056322412628137,0.8416,0.847749
0.011473991230569696,0.839715,0.847749
0.011066655526356248,0.846438,0.847749
0.012100454202717107,0.840699,0.847749
0.013498245814312877,0.835779,0.847749
0.01200551069027671,0.837501,0.847749
0.01291103918743686,0.844798,0.847749
0.012069262224092577,0.841026,0.847749
0.010140776686537801,0.842912,0.847749
0.013729371632752794,0.837993,0.847749
0.012814538576901796,0.84611,0.847749
0.01070737375961512,0.847094,0.847749
0.01136862812563777,0.84406,0.847749
0.010961001511307413,0.837501,0.847749
0.012647036892058474,0.843814,0.847749
0.009998853977644042,0.838731,0.847749
0.012721027022625288,0.837993,0.847749
0.010122389685666042,0.84119,0.847749
0.012484049210010955,0.836271,0.847749
0.010291888191511205,0.837583,0.847749
0.009938126715067564,0.844962,0.847749
0.013724222017996264,0.825941,0.847749
0.013861943161889408,0.834549,0.847749
0.013021838613210266,0.835779,0.847749
0.00959437979605007,0.838157,0.847749
0.012744641729389852,0.840944,0.847749
0.010594681276824702,0.838403,0.847749
0.012682099303419,0.836517,0.847749
0.011284689330025001,0.848979,0.848979
0.014065132697447715,0.840453,0.848979
0.012457266693223225,0.845536,0.848979
0.011767698624537568,0.846192,0.848979
0.008139903900433289,0.84283,0.848979
0.01225116452348701,0.840781,0.848979
0.010882958829967995,0.840043,0.848979
0.011422591825444878,0.837993,0.848979
0.011632725392374095,0.839715,0.848979
0.01098881964571774,0.841354,0.848979
0.012834461900311407,0.839141,0.848979
0.013180178736619065,0.845536,0.848979
0.010993951227871722,0.843568,0.848979
0.011682681429325445,0.836763,0.848979
0.013649571826943102,0.843568,0.848979
0.01120473821568983,0.843158,0.848979
0.009149207916696754,0.848077,0.848979
0.010257850749041425,0.84324,0.848979
0.00982761195222481,0.842502,0.848979
0.011955552733126568,0.846848,0.848979
0.010909948586957173,0.831352,0.848979
0.010378781410478306,0.840863,0.848979
0.010268572736217568,0.842092,0.848979
0.009853482275175747,0.842174,0.848979
0.011832896266865093,0.846028,0.848979
0.010773748203881838,0.850209,0.850209
0.011418702025908264,0.840617,0.850209
0.010426927996234278,0.841272,0.850209
0.009448538512106608,0.841682,0.850209
0.009135777217053463,0.845782,0.850209
0.012017459545828653,0.847995,0.850209
0.012401701040105538,0.8457,0.850209
0.010766225712624996,0.844552,0.850209
0.009312986506128244,0.84529,0.850209
0.009776634362976202,0.84242,0.850209
0.011771843200968055,0.844388,0.850209
0.009945652174261094,0.841436,0.850209
0.009750961449018188,0.843568,0.850209
0.010926517837136733,0.842502,0.850209
0.01248593822257656,0.842256,0.850209
0.011825456637156647,0.840289,0.850209
0.012167671567163942,0.843076,0.850209
0.008629673024576701,0.840125,0.850209
0.010005590696871448,0.841764,0.850209
0.012111801573002104,0.838239,0.850209
0.011727615120935809,0.837419,0.850209
0.0097793078212214,0.840453,0.850209
0.011035711015313027,0.84652,0.850209
0.009719695575441119,0.847258,0.850209
0.010903887764623995,0.84119,0.850209
0.010562654676208838,0.844962,0.850209
0.011088089258776287,0.842256,0.850209
0.008875113943319642,0.839961,0.850209
0.011604905798194114,0.843732,0.850209
0.00991852024277107,0.838731,0.850209
0.008512387044330159,0.843076,0.850209
0.01217453027656825,0.842666,0.850209
0.010272384244488196,0.839879,0.850209
0.009071337509105045,0.845946,0.850209
0.008940478289771951,0.839469,0.850209
0.012608501296281145,0.844142,0.850209
0.01078363780581047,0.840617,0.850209
0.010993490762108664,0.840535,0.850209
0.010351848121460401,0.844142,0.850209
0.009015285365513704,0.839305,0.850209
0.01135596405882179,0.840207,0.850209
0.012622561737413654,0.84529,0.850209
0.010617465595714748,0.84611,0.850209
0.01259395574334632,0.843896,0.850209
0.013246680494774593,0.84529,0.850209
0.01229726091770225,0.843322,0.850209
0.011358920533178647,0.844306,0.850209
0.011422532710006063,0.844716,0.850209
0.011407382906613391,0.843486,0.850209
0.01054791461812395,0.838239,0.850209
0.011130492252643022,0.840863,0.850209
0.010061908133976748,0.843158,0.850209
0.008638902186688162,0.84324,0.850209
0.008790882639168354,0.84529,0.850209
0.009937630231188757,0.8416,0.850209
0.010385638788300618,0.843158,0.850209
0.010267473838365312,0.838567,0.850209
0.010453771543427465,0.841272,0.850209
