0.09416252086880837,0.826351,0.841026
0.08151811955685026,0.825613,0.841026
0.08004934217236685,0.813315,0.841026
0.08306987236222524,0.840863,0.841026
0.08176310854346565,0.807904,0.841026
0.08590455068631118,0.743789,0.841026
0.08962989506426822,0.708043,0.841026
0.09118768436771431,0.744445,0.841026
0.07517051459237765,0.841846,0.841846
0.08192702947875087,0.788637,0.841846
0.08138688777186227,0.762811,0.841846
0.08364927496635512,0.824055,0.841846
0.08219770817190744,0.770763,0.841846
0.08469638831160042,0.831844,0.841846
0.07258643734195594,0.828072,0.841846
0.06810147149927831,0.809297,0.841846
0.07616771636216828,0.830286,0.841846
0.07279164765783575,0.821923,0.841846
0.06751988732957104,0.808314,0.841846
0.07085811447226599,0.765024,0.841846
0.086946223820612,0.837993,0.841846
0.06658658279587379,0.795933,0.841846
0.07415116651590621,0.842584,0.842584
0.07496597250567728,0.799459,0.842584
0.0728466117315078,0.816184,0.842584
0.06625084725491116,0.811921,0.842584
0.08373567029791937,0.793556,0.842584
0.06563804304917877,0.801099,0.842584
0.06388618763578072,0.731245,0.842584
0.0687717856902085,0.835615,0.842584
0.06615324447119839,0.748135,0.842584
0.07753792373735584,0.792244,0.842584
0.06124865728315343,0.789046,0.842584
0.07350525764350811,0.824055,0.842584
0.06525365541573991,0.800525,0.842584
0.0667612569176414,0.817906,0.842584
0.06657191634366519,0.826105,0.842584
0.0677575348677595,0.836189,0.842584
0.05939018178019631,0.838567,0.842584
0.05814143358154243,0.842748,0.842748
0.05476684323668982,0.827171,0.842748
0.06553913680104058,0.829958,0.842748
0.06087376542514964,0.826023,0.842748
0.060652548729787384,0.817578,0.842748
0.06254965535187151,0.838321,0.842748
0.06753156069415005,0.841928,0.842748
0.0722783464477973,0.777322,0.842748
0.07097259275824501,0.836025,0.842748
0.060008246326044706,0.828072,0.842748
0.06694655064911989,0.797655,0.842748
0.05021334848146927,0.842748,0.842748
0.07311065211431698,0.809461,0.842748
0.0571138992633545,0.840535,0.842748
0.053869072588558276,0.834058,0.842748
0.06389559029988694,0.79003,0.842748
0.0659109517994724,0.841682,0.842748
0.06467395731028211,0.840617,0.842748
0.05961539641315682,0.780438,0.842748
0.06774354227975513,0.788473,0.842748
0.059199843712653334,0.779536,0.842748
0.056315080576649544,0.813397,0.842748
0.06527336330540227,0.822005,0.842748
0.05727502609488,0.835533,0.842748
0.05016625751061051,0.836353,0.842748
0.057106188576919646,0.853243,0.853243
0.04710508097130596,0.847667,0.853243
0.05229552019010769,0.837255,0.853243
0.0536040561796909,0.836927,0.853243
0.05568809158514055,0.851603,0.853243
0.05999058524795463,0.853817,0.853817
0.0626493968550911,0.804542,0.853817
0.0567843920990741,0.829138,0.853817
0.039616941212770644,0.843732,0.853817
0.05840199629075072,0.822251,0.853817
0.04639304550678543,0.844388,0.853817
0.05380612669324272,0.843076,0.853817
0.05173038089585103,0.849881,0.853817
0.05370626874854056,0.83168,0.853817
0.04664854756608773,0.822087,0.853817
0.05109349424751957,0.839141,0.853817
0.05204166758679942,0.780684,0.853817
0.05099034750457393,0.836271,0.853817
0.05068313255592176,0.834304,0.853817
0.05255681828836377,0.854554,0.854554
0.047495123375667615,0.823563,0.854554
0.05111873821679796,0.800771,0.854554
0.05249671956126609,0.852177,0.854554
0.04650754826875885,0.827335,0.854554
0.047407606396865976,0.837993,0.854554
0.04907971575039993,0.828728,0.854554
0.048806714155617055,0.824547,0.854554
0.047775131032875416,0.845536,0.854554
0.04180532800598761,0.829876,0.854554
0.042835294603882884,0.858326,0.858326
0.03918764497456926,0.850373,0.858326
0.04484847071842196,0.840289,0.858326
0.05281140873983,0.853243,0.858326
0.048960461804454916,0.847913,0.858326
0.046573811744371155,0.814545,0.858326
0.047841960396826935,0.815856,0.858326
0.046152294231474066,0.799869,0.858326
0.052738270303757676,0.796179,0.858326
0.05360737013934034,0.838813,0.858326
0.04999568025068788,0.847503,0.858326
0.04735874610670497,0.817578,0.858326
0.05171719841721855,0.844306,0.858326
0.03943871963099482,0.749939,0.858326
0.04890193437027295,0.847176,0.858326
0.0485063118839197,0.842338,0.858326
0.04533215851805518,0.854472,0.858326
0.042089855983811486,0.835123,0.858326
0.040291103220471504,0.81561,0.858326
0.04608224013171504,0.839059,0.858326
0.04149921147906211,0.834467,0.858326
0.03655855761568868,0.855292,0.858326
0.04038569465635365,0.831106,0.858326
0.044784341671954046,0.846602,0.858326
0.045228582341223955,0.838731,0.858326
0.040950735397846175,0.843978,0.858326
0.04569368315023485,0.849143,0.858326
0.04318174378674352,0.81561,0.858326
0.042132995117539436,0.845782,0.858326
0.03639521220897774,0.851439,0.858326
0.045666013849543385,0.853898,0.858326
0.03886697069333678,0.856276,0.858326
0.03430175723957965,0.851275,0.858326
0.03873385270806343,0.842666,0.858326
0.046419683624100816,0.831434,0.858326
0.03683025548967083,0.83209,0.858326
0.03826168517508868,0.852997,0.858326
0.03738897772547736,0.850619,0.858326
0.04308669770324833,0.705747,0.858326
0.03884366856301936,0.85562,0.858326
0.03610901107090745,0.838977,0.858326
0.03401020887632216,0.844142,0.858326
0.043631878514052105,0.852177,0.858326
0.04089336086776149,0.839879,0.858326
0.04503587954102105,0.846192,0.858326
0.045567637403610715,0.84652,0.858326
0.04087451821862814,0.817824,0.858326
0.04054403021994434,0.832582,0.858326
0.043322733828400295,0.848569,0.858326
0.03433242900129617,0.851357,0.858326
0.033160070632322784,0.853161,0.858326
0.04460333387649963,0.825777,0.858326
0.03835721259015832,0.854226,0.858326
0.036367254117189836,0.838403,0.858326
0.03198655376608452,0.841026,0.858326
0.03608174227554811,0.834795,0.858326
0.031411878429771806,0.85439,0.858326
0.039812254750829064,0.835205,0.858326
0.031557582711194,0.85931,0.85931
0.036966896296761344,0.856276,0.85931
0.0446949474450745,0.839633,0.85931
0.039332148388781574,0.826761,0.85931
0.036422086795896626,0.850537,0.85931
0.037840582022255057,0.856932,0.85931
0.04421715410635545,0.850045,0.85931
0.033354437109501506,0.845454,0.85931
0.03513090093253871,0.857834,0.85931
0.03225968816328082,0.847995,0.85931
0.032520591956301685,0.853079,0.85931
0.04147073825863137,0.855456,0.85931
0.031163447301081393,0.849143,0.85931
0.033867026218788676,0.856932,0.85931
0.04011196155477775,0.842584,0.85931
0.03851423936299561,0.851931,0.85931
0.032010187907667645,0.843732,0.85931
0.033167724994670474,0.799459,0.85931
0.03668661074440801,0.850127,0.85931
0.043333683796017694,0.84447,0.85931
0.03601386366684115,0.836435,0.85931
0.039551594864911915,0.852095,0.85931
0.03628127147663343,0.852013,0.85931
0.037816595223345115,0.8589,0.85931
0.02669141138118974,0.857506,0.85931
0.03254139159146822,0.846192,0.85931
0.03558840201853701,0.850127,0.85931
0.032433911080189635,0.841846,0.85931
0.03509361846267842,0.855292,0.85931
0.029123309350917847,0.8589,0.85931
0.02755421455007758,0.855046,0.85931
0.033630676860554834,0.853571,0.85931
0.03950044456764721,0.84283,0.85931
0.03145649860184012,0.840289,0.85931
0.03276967048498519,0.855702,0.85931
0.043052058808212536,0.854636,0.85931
0.03429613238347046,0.853243,0.85931
0.03254746471981654,0.847012,0.85931
0.03163707417990552,0.851931,0.85931
0.035836199429304744,0.850619,0.85931
0.032006573648809385,0.854964,0.85931
0.033148579629075324,0.855128,0.85931
0.029619919486720575,0.856276,0.85931
0.03746504504547528,0.843568,0.85931
0.030359083956651642,0.851521,0.85931
0.027671003180524605,0.853653,0.85931
0.02903793284962519,0.8548,0.85931
0.03337171016093553,0.849881,0.85931
0.034281522278893695,0.854718,0.85931
0.028875565700484124,0.85685,0.85931
0.029875605976669474,0.853161,0.85931
0.028354384978249502,0.858572,0.85931
0.03658408257754499,0.851111,0.85931
0.035312327158668735,0.847831,0.85931
0.025746985992646954,0.836353,0.85931
0.027825294271781202,0.853653,0.85931
0.029323484230619132,0.854472,0.85931
0.03469539038690456,0.856932,0.85931
0.03308351274077477,0.838731,0.85931
0.0313862049376613,0.853571,0.85931
0.04123171095035217,0.847258,0.85931
0.031592034719089106,0.84447,0.85931
0.030095328200148062,0.857424,0.85931
0.029546347263614447,0.857096,0.85931
0.02482492531116089,0.854062,0.85931
0.031814830314912154,0.857834,0.85931
0.031401998159381446,0.853079,0.85931
0.02870156147171942,0.854144,0.85931
0.029589472301932197,0.857834,0.85931
0.02372327966489986,0.85562,0.85931
0.02791517441621406,0.851685,0.85931
0.034137778271910516,0.839633,0.85931
0.028792630917696137,0.858982,0.85931
0.027204025552472037,0.858162,0.85931
0.026297117201506758,0.845044,0.85931
0.027881217199597467,0.856194,0.85931
0.024615963484066423,0.857752,0.85931
0.027605448912285016,0.850783,0.85931
0.027140818756031856,0.852177,0.85931
